date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2022-05-17, 14:23:44	0 Hz	0 W	5,2E0 mbar	4,6E0 mbar
2022-05-17, 14:23:46	0 Hz	0 W	5,2E0 mbar	4,6E0 mbar
2022-05-17, 14:23:48	0 Hz	0 W	5,1E0 mbar	4,5E0 mbar
2022-05-17, 14:23:50	0 Hz	0 W	5E0 mbar	4,4E0 mbar
2022-05-17, 14:23:52	0 Hz	0 W	5E0 mbar	4,4E0 mbar
2022-05-17, 14:23:54	0 Hz	0 W	4,9E0 mbar	4,3E0 mbar
2022-05-17, 14:23:56	0 Hz	0 W	4,9E0 mbar	4,3E0 mbar
2022-05-17, 14:23:58	0 Hz	0 W	4,8E0 mbar	4,2E0 mbar
2022-05-17, 14:24:00	0 Hz	0 W	4,8E0 mbar	4,2E0 mbar
2022-05-17, 14:24:02	0 Hz	0 W	4,7E0 mbar	4,2E0 mbar
2022-05-17, 14:24:04	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-05-17, 14:24:06	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-05-17, 14:24:08	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-05-17, 14:24:10	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-05-17, 14:24:12	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-05-17, 14:24:14	0 Hz	0 W	4,5E0 mbar	4E0 mbar
2022-05-17, 14:24:16	0 Hz	0 W	4,5E0 mbar	3,9E0 mbar
2022-05-17, 14:24:18	0 Hz	0 W	4,5E0 mbar	3,9E0 mbar
2022-05-17, 14:24:20	0 Hz	0 W	4,5E0 mbar	3,9E0 mbar
2022-05-17, 14:24:22	0 Hz	0 W	4,4E0 mbar	3,9E0 mbar
2022-05-17, 14:24:24	0 Hz	0 W	4,4E0 mbar	3,9E0 mbar
2022-05-17, 14:24:26	0 Hz	0 W	4,4E0 mbar	3,9E0 mbar
2022-05-17, 14:24:28	0 Hz	0 W	4,4E0 mbar	3,9E0 mbar
2022-05-17, 14:24:30	0 Hz	0 W	4,3E0 mbar	3,9E0 mbar
2022-05-17, 14:24:32	0 Hz	0 W	4,3E0 mbar	3,9E0 mbar
2022-05-17, 14:24:34	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2022-05-17, 14:24:36	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2022-05-17, 14:24:38	0 Hz	0 W	4,3E0 mbar	3,8E0 mbar
2022-05-17, 14:24:40	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2022-05-17, 14:24:42	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2022-05-17, 14:24:44	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2022-05-17, 14:24:46	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2022-05-17, 14:24:48	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2022-05-17, 14:24:50	0 Hz	0 W	4,2E0 mbar	3,8E0 mbar
2022-05-17, 14:24:52	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-05-17, 14:24:54	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-05-17, 14:24:56	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-05-17, 14:24:58	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-05-17, 14:25:00	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-05-17, 14:25:02	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-05-17, 14:25:04	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-05-17, 14:25:06	0 Hz	0 W	4,1E0 mbar	3,7E0 mbar
2022-05-17, 14:25:08	0 Hz	0 W	4,1E0 mbar	3,7E0 mbar
2022-05-17, 14:25:10	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-05-17, 14:25:12	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-05-17, 14:25:14	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-05-17, 14:25:16	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-05-17, 14:25:18	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-05-17, 14:25:20	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-05-17, 14:25:22	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-05-17, 14:25:24	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-05-17, 14:25:26	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-05-17, 14:25:28	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-05-17, 14:25:30	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-05-17, 14:25:32	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-05-17, 14:25:34	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-05-17, 14:25:36	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:25:38	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:25:40	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:25:42	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:25:44	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:25:46	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:25:48	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:25:50	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:25:52	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:25:54	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:25:56	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:25:58	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:26:00	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:26:02	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:26:04	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:26:06	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:26:08	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:26:10	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:26:12	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:26:14	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:26:16	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:26:18	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:26:20	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:26:22	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:26:24	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:26:26	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:26:28	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:26:30	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:26:32	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:26:34	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:26:36	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:26:38	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:26:40	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:26:42	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:26:44	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:26:46	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-05-17, 14:26:48	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:26:50	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:26:52	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:26:54	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:26:56	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:26:58	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:27:00	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:27:02	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:27:04	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:27:06	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:27:08	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:27:10	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:27:12	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:27:14	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:27:16	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:27:18	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:27:20	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:27:22	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:27:24	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:27:26	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:27:28	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:27:30	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:27:32	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:27:34	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:27:36	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:27:38	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:27:40	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:27:42	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:27:44	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:27:46	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:27:48	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:27:50	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:27:52	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:27:54	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:27:56	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:27:58	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:28:00	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:28:02	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:28:04	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:28:06	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:28:08	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:28:10	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:28:12	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:28:14	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:28:16	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:28:18	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:28:20	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:28:22	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:28:24	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:28:26	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:28:28	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:28:30	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:28:32	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:28:34	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:28:36	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:28:38	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:28:40	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:28:42	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:28:44	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:28:46	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:28:48	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:28:50	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:28:52	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:28:54	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:28:56	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:28:58	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:29:00	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:29:02	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:29:04	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:29:06	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-05-17, 14:29:08	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
