t (s),V (mV)
136.908,12.3239
137.907,12.2932
138.908,12.2624
139.907,12.2486
140.908,12.2219
141.907,12.1788
142.907,12.1695
143.908,12.133
144.907,12.1022
145.908,12.078
146.908,12.0479
147.912,12.0165
148.908,11.9991
149.908,11.9713
150.907,11.9497
151.908,11.921
152.908,11.9009
153.914,11.8761
154.907,11.8429
155.907,11.8056
156.908,11.7736
157.907,11.7492
158.907,11.7226
159.913,11.7065
160.907,11.6713
161.907,11.6577
162.908,11.6249
163.907,11.6017
164.908,11.5635
165.908,11.5339
166.908,11.5104
167.908,11.485
168.908,11.459
169.907,11.4543
170.907,11.4278
171.909,11.4222
172.908,11.3942
173.908,11.3746
174.908,11.3425
175.908,11.3175
176.907,11.2978
177.912,11.2675
178.907,11.2389
179.908,11.2105
180.907,11.1939
181.908,11.1675
182.907,11.1416
183.908,11.1115
184.908,11.0896
185.908,11.0665
186.907,11.0363
187.908,11.0109
188.908,10.9902
189.907,10.9729
190.908,10.9416
191.907,10.9227
192.907,10.8916
193.908,10.8736
194.908,10.8557
195.907,10.8246
196.908,10.8041
197.907,10.777
198.907,10.7573
199.908,10.7273
200.907,10.7046
201.912,10.6769
202.908,10.6573
203.908,10.6343
204.907,10.6095
205.906,10.5839
206.907,10.5634
207.906,10.5436
208.907,10.5181
209.906,10.4937
210.907,10.4756
211.906,10.4479
212.907,10.4265
213.911,10.4002
214.906,10.377
215.906,10.3508
216.907,10.3281
217.907,10.3038
218.906,10.2856
219.911,10.2494
220.907,10.2306
221.906,10.2097
222.906,10.1858
223.906,10.1689
224.906,10.1443
225.906,10.1161
226.907,10.0871
227.907,10.0676
228.906,10.0465
229.906,10.0269
230.907,10.0077
231.912,9.9746
232.908,9.9635
233.907,9.9481
234.907,9.9228
235.908,9.9026
236.907,9.881
237.912,9.857
238.908,9.816
239.907,9.8188
240.908,9.7932
241.907,9.777
242.907,9.7263
243.912,9.7364
244.908,9.7062
245.907,9.6924
246.908,9.6693
247.907,9.6479
248.908,9.6267
249.907,9.6059
250.908,9.5922
251.908,9.5679
252.908,9.5466
253.907,9.5218
254.908,9.5011
255.912,9.4438
256.907,9.4599
257.907,9.4096
258.907,9.4244
259.908,9.404
260.907,9.36
261.907,9.3244
262.907,9.3326
263.908,9.3097
264.907,9.2617
265.907,9.2498
266.908,9.2381
267.908,9.231
268.908,9.2199
269.907,9.1849
270.908,9.1622
271.908,9.1436
272.907,9.126
273.908,9.079
274.908,9.0729
275.909,9.0502
276.908,9.0157
277.907,9.0224
278.907,8.9877
279.912,8.9894
280.907,8.9637
281.908,8.9519
282.907,8.9151
283.907,8.893
284.908,8.8789
285.908,8.8498
286.908,8.8083
287.907,8.8068
288.908,8.79
289.907,8.7835
290.908,8.765
291.908,8.7461
292.907,8.7121
293.908,8.692
294.907,8.6784
295.907,8.6568
296.908,8.6394
297.907,8.619
298.907,8.6014
299.907,8.5793
300.908,8.5579
301.907,8.546
302.908,8.5274
303.908,8.5068
304.907,8.4822
305.908,8.466
306.907,8.4389
307.907,8.4277
308.908,8.4046
309.908,8.3896
310.907,8.3766
311.908,8.3567
312.907,8.3063
313.907,8.2964
