t (s),V (mV)
0,16.8502
0.97,16.8413
1.908,16.8076
2.908,16.7753
3.907,16.7485
4.907,16.7139
5.907,16.6762
6.907,16.6345
7.908,16.6085
8.907,16.5722
9.907,16.536
10.908,16.4843
11.907,16.4619
12.908,16.4202
13.908,16.3886
14.908,16.3588
15.908,16.3071
16.908,16.2765
17.907,16.2291
18.907,16.1998
19.908,16.1615
20.908,16.1237
21.913,16.0919
22.908,16.0421
23.908,16.0026
24.907,15.9572
25.907,15.9233
26.907,15.8784
27.907,15.8346
28.907,15.808
29.908,15.7741
30.907,15.7368
31.907,15.6937
32.908,15.6592
33.907,15.6215
34.908,15.6001
35.907,15.5479
36.907,15.5168
37.907,15.4815
38.908,15.4285
39.907,15.41
40.907,15.3669
41.907,15.3306
42.907,15.2988
43.908,15.2615
44.907,15.2163
45.908,15.1898
46.908,15.149
47.908,15.1163
48.908,15.08
49.907,15.0486
50.908,15.0059
51.908,14.9745
52.907,14.94
53.908,14.908
54.907,14.849
55.908,14.8172
56.907,14.8118
57.912,14.7841
58.907,14.7431
59.907,14.7015
60.907,14.679
61.907,14.6427
62.908,14.587
63.907,14.5417
64.908,14.5323
65.907,14.505
66.908,14.4756
67.908,14.4438
68.907,14.4004
69.912,14.3647
70.907,14.3474
71.908,14.3104
72.907,14.2812
73.908,14.251
74.907,14.2265
75.912,14.1753
76.908,14.1485
77.907,14.1104
78.907,14.0807
79.907,14.0524
80.907,14.0142
81.908,13.9819
82.908,13.9599
83.907,13.922
84.907,13.8913
85.908,13.8582
86.908,13.8322
87.912,13.7884
88.907,13.7657
89.907,13.7351
90.908,13.7008
91.907,13.67
92.907,13.6361
93.908,13.6066
94.908,13.5697
95.907,13.545
96.908,13.5123
97.908,13.4834
98.907,13.4186
99.908,13.4149
100.908,13.3866
101.908,13.3524
102.907,13.3155
103.908,13.2816
104.907,13.255
105.907,13.2259
106.908,13.1975
107.908,13.1741
108.907,13.1509
109.908,13.121
110.907,13.0823
111.912,13.0615
112.908,13.0253
113.907,12.9914
114.907,12.9693
115.908,12.9321
116.908,12.9145
117.907,12.8824
118.908,12.8572
119.908,12.8265
120.907,12.8
121.908,12.7704
122.908,12.7515
123.912,12.7107
124.907,12.6751
125.908,12.6432
126.908,12.6249
127.907,12.5881
128.907,12.5661
129.908,12.5313
130.907,12.5003
131.907,12.4681
132.908,12.4493
133.907,12.4187
134.908,12.3835
135.908,12.3596
