t (s),V (mV)
314.04,10.8382
315.04,10.8269
316.04,10.8035
317.04,10.7911
318.039,10.7776
319.04,10.7638
320.04,10.7483
321.04,10.7363
322.04,10.7109
323.04,10.6986
324.039,10.6857
325.039,10.6766
326.039,10.6581
327.039,10.6477
328.039,10.6338
329.04,10.6157
330.039,10.6065
331.039,10.5911
332.043,10.5785
333.038,10.561
334.038,10.5502
335.038,10.5359
336.039,10.531
337.038,10.5103
338.038,10.5001
339.039,10.4863
340.039,10.4705
341.038,10.4625
342.038,10.4514
343.039,10.4053
344.039,10.4173
345.039,10.4011
346.039,10.3909
347.039,10.3703
348.039,10.3685
349.038,10.3507
350.038,10.338
351.038,10.3226
352.039,10.3055
353.039,10.2868
354.038,10.2727
355.038,10.2591
356.038,10.2486
357.038,10.2435
358.038,10.2259
359.039,10.2105
360.039,10.182
361.038,10.1698
362.038,10.1502
363.038,10.1203
364.039,10.1381
365.039,10.1215
366.038,10.1029
367.038,10.0818
368.039,10.0784
369.038,10.0662
370.038,10.0573
371.039,10.0465
372.038,10.0166
373.038,10.002
374.044,9.9792
375.04,9.9703
376.04,9.9559
377.04,9.9392
378.04,9.9249
379.04,9.9123
380.04,9.8952
381.04,9.8864
382.039,9.8702
383.04,9.8588
384.04,9.8513
385.039,9.8358
386.04,9.8233
387.039,9.8112
388.039,9.8022
389.04,9.7464
390.039,9.7585
391.04,9.7443
392.039,9.7319
393.039,9.7139
394.04,9.7091
395.04,9.7005
396.04,9.6893
397.04,9.6669
398.04,9.654
399.04,9.6465
400.041,9.6331
401.04,9.6185
402.04,9.5992
403.04,9.5774
404.039,9.5734
405.04,9.5558
406.04,9.5321
407.04,9.5339
408.04,9.5198
409.039,9.4983
410.04,9.4842
411.04,9.4744
412.04,9.4608
413.039,9.4506
414.039,9.4355
415.039,9.4419
416.04,9.4141
417.039,9.4063
418.04,9.3994
419.04,9.3886
420.04,9.3741
421.039,9.3589
422.04,9.3477
423.04,9.3442
424.04,9.3284
425.04,9.2993
426.039,9.3014
427.039,9.2826
428.039,9.2686
429.039,9.2579
430.04,9.2441
431.04,9.2383
432.04,9.219
433.039,9.202
434.044,9.1926
435.039,9.1828
436.039,9.1716
437.039,9.1551
438.04,9.1458
439.039,9.1347
440.039,9.1196
441.04,9.1121
442.04,9.094
443.039,9.0837
444.04,9.0574
445.04,9.0278
446.04,9.0125
447.039,9.0328
448.039,9.026
449.039,9.0124
450.039,8.9957
451.039,8.9705
452.04,8.9322
453.04,8.9203
454.04,8.9069
455.04,8.9276
456.04,8.9212
457.04,8.9093
458.044,8.8965
459.04,8.8891
460.04,8.872
461.04,8.8551
462.04,8.816
463.039,8.8256
464.044,8.7908
465.039,8.7767
466.04,8.7631
467.04,8.7721
468.04,8.7631
469.039,8.7281
470.039,8.7132
471.039,8.7437
472.04,8.7295
473.04,8.7255
474.04,8.7109
475.039,8.6753
476.044,8.671
477.039,8.6525
478.04,8.647
479.04,8.6326
480.04,8.6225
481.039,8.5962
482.039,8.5951
483.039,8.5892
484.04,8.5818
485.04,8.5677
486.04,8.5562
487.039,8.5439
488.039,8.5292
489.04,8.5229
490.039,8.5121
491.039,8.4997
