t (s),V (mV)
313.926,11.5435
314.926,11.5352
315.926,11.526
316.927,11.5088
317.926,11.5102
318.927,11.493
319.927,11.4795
320.926,11.4718
321.927,11.4647
322.927,11.4527
323.926,11.4461
324.927,11.4361
325.926,11.4296
326.926,11.4142
327.926,11.4087
328.926,11.4031
329.926,11.3947
330.927,11.3838
331.927,11.378
332.927,11.3682
333.927,11.3506
334.927,11.3464
335.927,11.3358
336.927,11.3245
337.927,11.3153
338.926,11.3042
339.926,11.2978
340.926,11.2798
341.927,11.2759
342.927,11.2662
343.927,11.2616
344.927,11.253
345.927,11.2426
346.926,11.2372
347.926,11.2258
348.926,11.2176
349.926,11.2063
350.927,11.1995
351.927,11.1877
352.927,11.1805
353.927,11.1743
354.927,11.1649
355.927,11.1484
356.926,11.144
357.926,11.1366
358.927,11.1211
359.927,11.1113
360.927,11.101
361.926,11.0944
362.926,11.0899
363.927,11.0784
364.927,11.0677
365.927,11.0554
366.927,11.0508
367.926,11.0457
368.926,11.0329
369.926,11.0286
370.926,11.0189
371.926,11.0113
372.927,11.0104
373.926,11.0033
374.926,10.9893
375.927,10.992
376.927,10.9797
377.927,10.9682
378.926,10.9714
379.926,10.9551
380.926,10.9463
381.926,10.9379
382.926,10.9431
383.926,10.9267
384.926,10.9083
385.926,10.9124
386.926,10.9005
387.926,10.8962
388.927,10.8947
389.927,10.8777
390.927,10.8614
391.927,10.8499
392.926,10.8379
393.926,10.8507
394.926,10.8205
395.927,10.8334
396.926,10.8219
397.927,10.8212
398.926,10.8196
399.927,10.8015
400.927,10.7944
401.926,10.784
402.926,10.7666
403.926,10.7645
404.926,10.7587
405.926,10.7478
406.927,10.738
407.927,10.7275
408.926,10.7223
409.926,10.7066
410.926,10.6992
411.927,10.6889
412.927,10.6809
413.926,10.6723
414.926,10.6631
415.926,10.6517
416.926,10.6349
417.926,10.6146
418.927,10.6239
419.926,10.618
420.926,10.5866
421.925,10.5962
422.925,10.584
423.926,10.5788
424.925,10.5733
425.925,10.5596
426.926,10.5521
427.925,10.5225
428.925,10.5332
429.925,10.5251
430.925,10.4933
431.925,10.4805
432.925,10.4955
433.925,10.4818
434.925,10.4716
435.926,10.4434
436.926,10.4526
437.926,10.4295
438.926,10.4191
439.926,10.4087
440.926,10.4279
441.926,10.415
442.926,10.4157
443.925,10.3969
444.926,10.3959
445.926,10.3892
446.925,10.3834
447.925,10.368
448.926,10.3567
449.926,10.3452
450.926,10.336
451.926,10.3316
452.926,10.3215
453.926,10.3109
454.926,10.3097
455.926,10.3037
456.926,10.2982
457.926,10.2937
458.925,10.279
459.926,10.2734
460.926,10.2576
461.926,10.237
462.925,10.2285
463.925,10.2198
464.925,10.2216
465.925,10.225
466.925,10.2055
467.925,10.1937
468.925,10.17
469.926,10.1895
470.925,10.1818
471.925,10.1577
472.925,10.151
473.925,10.1676
474.926,10.1352
475.925,10.1478
476.926,10.1208
477.925,10.1114
478.925,10.1026
479.925,10.1176
480.925,10.1148
481.925,10.096
482.925,10.0901
483.925,10.087
484.925,10.0778
485.925,10.075
486.925,10.0711
487.925,10.0651
488.925,10.0561
489.926,10.0521
490.926,10.0404
491.926,10.0254
492.926,10.0278
493.925,10.0163
494.925,10.0105
495.925,10.0133
496.925,10.0034
497.925,10.0033
498.927,9.9994
499.927,9.9876
500.927,9.9822
501.926,9.9689
502.926,9.9571
503.926,9.9493
504.927,9.9476
505.927,9.9379
506.926,9.928
507.926,9.9236
508.926,9.9126
509.926,9.9086
510.926,9.9036
511.926,9.9011
512.927,9.9007
513.927,9.8848
514.926,9.8731
515.926,9.8726
516.926,9.8643
517.927,9.8652
518.927,9.8493
519.927,9.8469
520.927,9.8342
521.926,9.8303
522.926,9.8314
523.927,9.8176
524.926,9.8143
525.926,9.8009
526.927,9.7962
527.927,9.7767
528.927,9.7867
529.927,9.7846
530.927,9.7794
531.926,9.7567
532.926,9.7579
533.927,9.7521
534.926,9.7452
535.926,9.7334
536.926,9.7333
537.926,9.7197
538.926,9.7144
539.926,9.7095
540.926,9.7069
541.926,9.6991
542.926,9.695
543.926,9.6871
544.926,9.6804
545.926,9.6758
546.927,9.6674
547.927,9.661
548.927,9.6587
549.926,9.6545
550.926,9.6474
551.926,9.632
552.926,9.6292
553.926,9.6194
554.926,9.6152
555.926,9.6104
556.927,9.6169
557.926,9.6076
558.926,9.5883
559.927,9.5836
560.927,9.5859
561.927,9.5821
562.926,9.5696
563.926,9.5596
564.927,9.5444
565.927,9.5434
566.926,9.5145
567.926,9.5117
568.926,9.5217
569.927,9.5143
570.926,9.5011
571.926,9.5007
572.927,9.4882
573.927,9.481
574.927,9.4759
575.927,9.4661
576.926,9.4359
577.927,9.4377
578.927,9.43
579.926,9.4432
580.926,9.435
581.927,9.437
582.927,9.4228
583.927,9.4242
584.927,9.4095
585.927,9.3941
586.927,9.3904
587.927,9.3818
588.927,9.3785
