t (s),V (mV)
512.999,8.1764
513.999,8.1668
515,8.1562
515.999,8.142
517,8.1328
517.999,8.1264
519,8.0819
520,8.0669
520.999,8.0699
522,8.0583
523,8.0559
523.999,8.041
525,8.0218
525.999,8.0493
526.999,8.0416
528,8.0319
528.999,8.0248
529.999,8.0126
531,8.0026
531.999,7.9912
532.999,7.983
533.999,7.9682
535,7.9583
535.999,7.9521
536.999,7.9465
538,7.9364
539,7.934
539.999,7.9119
541,7.9065
541.999,7.9026
542.999,7.8876
544,7.8634
544.999,7.8593
546,7.8531
546.999,7.8402
548,7.8322
549,7.8211
549.999,7.8156
550.999,7.8032
552,7.8037
553,7.795
553.999,7.7884
555,7.7803
555.999,7.7849
556.999,7.77
558,7.7646
558.999,7.7643
560,7.7563
560.999,7.7489
562,7.7456
563,7.737
563.999,7.7304
565,7.7256
565.999,7.7184
566.999,7.7196
567.999,7.701
568.999,7.6952
570,7.7017
571,7.6987
571.999,7.6738
572.999,7.6761
574,7.6701
574.999,7.6649
576,7.6584
576.999,7.6611
577.999,7.656
579,7.6478
580,7.6377
580.999,7.631
581.999,7.619
583,7.6015
583.999,7.5939
584.999,7.5811
586,7.5866
587,7.5779
587.999,7.5645
588.999,7.5597
590,7.5431
591,7.5452
591.999,7.5421
593,7.5297
593.999,7.4833
