t (s),V (mV)
0,14.9822
1,14.9736
2,14.9577
3,14.9372
3.999,14.9287
4.999,14.9181
5.999,14.9099
7,14.9
8,14.8826
9,14.8774
9.999,14.8621
11,14.8487
11.999,14.8336
13,14.8114
14,14.7868
14.999,14.771
15.999,14.7377
17,14.7058
18,14.6691
18.999,14.6385
20,14.6098
21,14.5879
21.999,14.554
22.999,14.5422
24,14.5236
25,14.5084
25.999,14.477
26.999,14.4596
28,14.441
29,14.4148
29.999,14.3907
31,14.3866
31.999,14.3805
33,14.3812
33.999,14.3777
34.999,14.3656
36,14.3601
37,14.3381
37.999,14.3238
38.999,14.3148
40,14.3035
40.999,14.2918
42.012,14.2937
43,14.2755
44,14.2611
45,14.2333
46,14.2289
46.999,14.2077
48,14.2018
48.999,14.1861
49.999,14.167
50.999,14.1535
52,14.1427
52.999,14.1181
53.999,14.0955
55,14.0747
56,14.0563
56.999,14.037
57.999,14.0138
59,13.9889
60,13.9421
60.999,13.8964
61.999,13.8569
63,13.8189
64,13.789
64.999,13.7468
65.999,13.7258
67,13.6983
68,13.6717
68.999,13.6494
70,13.6201
70.999,13.596
71.999,13.5584
73,13.5441
73.999,13.5344
75,13.5093
75.999,13.4924
76.999,13.472
78,13.4583
78.999,13.4443
80,13.4028
80.999,13.408
81.999,13.3928
83,13.3813
83.999,13.36
85,13.3424
86,13.3301
86.999,13.2961
88,13.2725
88.999,13.2605
90,13.2377
91,13.2204
92,13.1898
93,13.1668
94,13.1526
95,13.1349
96,13.1174
96.999,13.0968
97.999,13.0838
99,13.0663
99.999,13.0605
101,13.0474
102,13.0357
102.999,13.015
103.999,13.0123
105,13.0006
106,12.9854
106.999,12.9949
108,12.9935
109,12.9897
109.999,12.962
111,12.9504
112,12.9237
112.999,12.9189
114,12.9078
115,12.8744
115.999,12.8662
117,12.8603
117.999,12.8488
119,12.8333
120,12.8276
120.999,12.8182
122,12.7991
123,12.7898
123.999,12.7854
125,12.7648
126,12.7578
127,12.7513
127.999,12.7364
129,12.7245
129.999,12.6959
131,12.6787
131.999,12.6752
133,12.6706
133.999,12.6554
135,12.6367
135.999,12.6253
137,12.5976
137.999,12.6064
138.999,12.5763
140,12.578
141,12.5534
142,12.5383
143,12.5233
144,12.513
145,12.4902
146,12.4735
147,12.4513
148,12.4212
149,12.4012
149.999,12.3676
151,12.3426
152,12.3109
152.999,12.2799
154,12.2454
155,12.2198
155.999,12.1963
157,12.1731
157.999,12.1538
159,12.1282
160,12.1099
160.999,12.0782
161.999,12.0546
163,12.047
163.999,12.008
165,12.0053
165.999,11.9886
166.999,11.9675
168,11.9465
168.999,11.9268
169.999,11.9106
171,11.8957
171.999,11.9144
173,11.8872
173.999,11.8757
175,11.8515
175.999,11.8388
177,11.8273
178,11.8092
178.999,11.7897
180,11.7713
181,11.774
182,11.7305
182.999,11.7168
184,11.6921
184.999,11.6838
186,11.6709
186.999,11.6535
188,11.6333
189,11.6219
189.999,11.6064
190.999,11.6216
192,11.5921
192.999,11.5762
193.999,11.5713
194.999,11.552
195.999,11.559
196.999,11.5291
198,11.5113
199,11.5071
200,11.505
200.999,11.4827
202,11.4696
203,11.4574
203.999,11.4472
205,11.4341
205.999,11.4299
206.999,11.4282
208,11.419
209,11.4124
209.999,11.4098
210.999,11.4123
211.999,11.4043
213,11.4008
213.999,11.3895
215,11.3734
215.999,11.3598
217,11.3483
217.999,11.3422
219,11.3404
219.999,11.3361
221,11.3206
222,11.3127
223,11.298
223.999,11.3047
225,11.3068
225.999,11.2823
226.999,11.2787
228,11.2477
228.999,11.2396
230,11.2455
230.999,11.2346
232,11.2255
232.999,11.2144
234,11.2065
235,11.2017
235.999,11.1891
237,11.1713
237.999,11.1642
239,11.168
239.999,11.1322
241,11.1246
242,11.1077
243,11.0984
244,11.0826
245,11.0679
246,11.0473
247,11.0344
248,11.0309
248.999,10.9988
249.999,10.9898
250.999,10.9787
252,10.9812
252.999,10.9364
253.999,10.9248
255,10.9015
255.999,10.888
257,10.8619
257.999,10.8432
259,10.8472
259.999,10.8212
261,10.8166
261.999,10.7924
263,10.7849
263.999,10.7645
264.999,10.7593
266,10.7459
266.999,10.7424
268,10.7289
268.999,10.7207
270,10.7401
271,10.7066
271.999,10.7029
273,10.6945
274,10.6763
275,10.664
276,10.6448
277,10.6263
277.999,10.6071
279,10.5991
279.999,10.5702
280.998,10.5616
281.999,10.5492
282.998,10.541
283.999,10.5109
284.998,10.5025
285.998,10.5339
286.998,10.4946
287.998,10.4827
288.998,10.4774
289.998,10.4797
290.998,10.4649
291.999,10.4572
292.998,10.4564
293.999,10.4521
294.998,10.4418
295.999,10.4356
296.998,10.4164
297.998,10.4192
298.999,10.41
299.999,10.4065
300.999,10.3966
301.998,10.3978
302.998,10.3895
303.999,10.3633
304.999,10.3681
305.999,10.3651
306.998,10.3634
307.998,10.3642
308.999,10.361
309.998,10.358
310.998,10.3443
311.998,10.3378
312.998,10.3447
313.999,10.3335
314.998,10.3361
315.998,10.3353
316.998,10.334
317.998,10.3238
318.999,10.3131
319.998,10.3038
320.999,10.3054
321.998,10.2987
322.999,10.2836
323.998,10.2629
324.999,10.2475
325.998,10.231
326.998,10.2286
327.999,10.1907
328.998,10.1783
329.999,10.1723
330.998,10.1395
331.998,10.1278
332.998,10.1324
333.999,10.1127
334.998,10.0942
335.998,10.0752
336.999,10.0553
337.998,10.0475
338.999,10.0417
339.998,10.0025
340.998,10.0061
342,9.9727
343,9.9593
343.999,9.9508
345,9.9187
345.999,9.9016
347,9.889
347.999,9.8973
348.999,9.851
350,9.8373
350.999,9.8208
352,9.8079
353,9.7992
354,9.7654
354.999,9.7544
356,9.7369
357,9.7014
357.999,9.687
358.999,9.6703
360,9.6518
360.999,9.6345
362,9.6053
363,9.5963
363.999,9.593
365,9.5693
365.999,9.5629
366.999,9.5555
368,9.5422
368.999,9.5275
370,9.5162
370.999,9.5086
371.999,9.4708
373,9.4621
374,9.4337
374.999,9.4313
375.999,9.4093
377,9.3935
377.999,9.3802
378.999,9.3675
379.999,9.3597
381,9.3586
381.999,9.3332
383,9.3203
383.999,9.3127
384.999,9.291
385.999,9.2712
387,9.2658
388,9.2576
388.999,9.2427
389.999,9.239
391,9.2308
391.999,9.2171
393,9.2047
393.999,9.1978
395,9.1819
395.999,9.1747
397,9.1677
397.999,9.1526
398.999,9.1581
399.999,9.1453
400.999,9.1418
401.999,9.1309
403,9.1202
404,9.121
404.999,9.1124
406,9.1009
406.999,9.0948
408,9.0778
408.999,9.0944
410,9.0776
410.999,9.0592
412,9.0562
412.999,9.047
414,9.0415
415,9.0403
415.999,9.0333
417,9.0219
417.999,9.016
419,9.023
419.999,9.0193
421,9.048
421.999,9.0137
423,9.0121
423.999,9.0094
424.999,9.0061
426,9.0084
426.999,9.0082
428,8.9977
428.999,8.9942
429.999,8.9894
431,8.9841
431.999,8.9831
432.999,8.9898
434,8.97
434.999,8.9628
436,8.9492
436.999,8.9473
437.999,8.9445
439,8.9359
440,8.9247
440.999,8.9065
441.999,8.8977
443,8.8846
443.999,8.8713
444.999,8.8938
445.999,8.8872
447,8.8723
448,8.8636
449,8.8498
449.999,8.8428
451,8.8289
451.999,8.8193
452.999,8.8048
454,8.7939
455,8.7795
455.999,8.7683
456.999,8.7632
458,8.7531
458.999,8.7357
460,8.725
460.999,8.7119
462,8.7003
462.999,8.6875
464,8.6849
464.999,8.6717
466,8.6497
466.999,8.6331
468,8.6258
468.999,8.6139
470,8.5995
471,8.5712
471.999,8.5766
473,8.5671
473.999,8.5557
475,8.542
476,8.535
476.999,8.5215
477.999,8.514
479,8.5071
480,8.4956
480.999,8.4889
482,8.4767
482.999,8.4605
483.999,8.4543
485,8.4224
485.999,8.4253
486.999,8.4125
487.999,8.4061
489,8.3933
489.999,8.3802
490.999,8.3722
492,8.3486
492.999,8.3406
493.999,8.3361
495,8.3282
496,8.3181
496.999,8.3123
498,8.2938
499,8.2884
499.999,8.2845
501,8.2822
502,8.2784
502.999,8.2599
504,8.2512
504.999,8.2401
506,8.2287
507,8.223
507.999,8.1805
509,8.1783
509.999,8.1612
510.999,8.1522
512,8.1472
