t (s),V (mV)
0,13.5453
0.966,13.5163
1.9,13.4745
2.867,13.4179
3.803,13.3645
4.803,13.3041
5.802,13.2391
6.802,13.1789
7.803,13.124
8.802,13.0649
9.803,12.9846
10.802,12.9261
11.803,12.8445
12.803,12.7898
13.803,12.7254
14.802,12.663
15.803,12.5996
16.803,12.5343
17.803,12.4762
18.802,12.42
19.802,12.3589
20.802,12.2997
21.803,12.2261
22.803,12.1697
23.802,12.1162
24.803,12.0542
25.802,11.9897
26.802,11.9378
27.803,11.8782
28.802,11.8194
29.802,11.7641
30.802,11.7043
31.802,11.6447
32.802,11.5549
33.803,11.5254
34.803,11.4436
35.803,11.4168
36.803,11.3534
37.807,11.2887
38.802,11.2404
39.803,11.1813
40.802,11.1243
41.803,11.0702
42.803,11.015
43.802,10.9592
44.802,10.9071
45.803,10.8442
46.803,10.7891
47.802,10.7375
48.803,10.6787
49.803,10.6238
50.801,10.5643
51.801,10.5202
52.801,10.4598
53.801,10.4095
54.802,10.3583
55.801,10.3016
56.801,10.2588
57.802,10.1993
58.801,10.155
59.801,10.121
60.801,10.0627
61.802,10.0118
62.802,9.9635
63.802,9.9094
64.803,9.8525
65.802,9.8043
66.802,9.7588
67.803,9.7071
68.803,9.6551
69.802,9.5858
70.803,9.5386
71.803,9.4823
72.802,9.4507
73.802,9.3912
74.803,9.3403
75.802,9.2947
76.803,9.2561
77.802,9.2084
78.802,9.1581
79.803,9.1067
80.802,9.0554
81.803,9.0266
82.802,8.9604
83.803,8.9416
84.803,8.9027
85.802,8.8594
86.803,8.8021
87.802,8.7509
88.802,8.7105
89.803,8.6687
90.803,8.6246
91.802,8.5817
92.803,8.5323
93.802,8.4918
94.802,8.4499
95.803,8.3681
96.803,8.363
97.803,8.3313
98.802,8.2843
99.803,8.2397
100.802,8.2041
101.803,8.126
102.802,8.1147
103.802,8.0707
104.803,8.037
105.802,7.9907
106.802,7.9279
107.802,7.89
108.803,7.8594
109.807,7.8352
110.802,7.7855
111.803,7.7406
112.803,7.7049
113.803,7.6645
114.802,7.6198
115.803,7.5845
116.802,7.5495
117.802,7.5051
118.803,7.476
119.802,7.445
120.802,7.3729
121.803,7.3386
122.802,7.2993
123.802,7.2751
124.803,7.2407
125.802,7.2025
126.802,7.1631
127.802,7.1245
128.802,7.0846
129.803,7.0586
